condition,failure_mode,count,denominator,rate,detection_source,overlapping_allowed
C1_PE_Llama,early_termination,0,99,0.0,metadata_or_rule_based_text_patterns,True
C1_PE_Llama,max_turn_termination,0,99,0.0,metadata_or_rule_based_text_patterns,True
C1_PE_Llama,protocol_failure,0,99,0.0,metadata_or_rule_based_text_patterns,True
C1_PE_Llama,invalid_format,0,99,0.0,metadata_or_rule_based_text_patterns,True
C1_PE_Llama,off_topic,0,99,0.0,metadata_or_rule_based_text_patterns,True
C1_PE_Llama,solution_leaking_flag,2,99,0.0202,metadata_or_rule_based_text_patterns,True
C1_PE_Llama,repetition_flag,22,99,0.2222,metadata_or_rule_based_text_patterns,True
C2_SFT_Llama,early_termination,0,76,0.0,metadata_or_rule_based_text_patterns,True
C2_SFT_Llama,max_turn_termination,0,76,0.0,metadata_or_rule_based_text_patterns,True
C2_SFT_Llama,protocol_failure,0,76,0.0,metadata_or_rule_based_text_patterns,True
C2_SFT_Llama,invalid_format,0,76,0.0,metadata_or_rule_based_text_patterns,True
C2_SFT_Llama,off_topic,0,76,0.0,metadata_or_rule_based_text_patterns,True
C2_SFT_Llama,solution_leaking_flag,0,76,0.0,metadata_or_rule_based_text_patterns,True
C2_SFT_Llama,repetition_flag,0,76,0.0,metadata_or_rule_based_text_patterns,True
C3_DPO_Llama,early_termination,0,96,0.0,metadata_or_rule_based_text_patterns,True
C3_DPO_Llama,max_turn_termination,0,96,0.0,metadata_or_rule_based_text_patterns,True
C3_DPO_Llama,protocol_failure,0,96,0.0,metadata_or_rule_based_text_patterns,True
C3_DPO_Llama,invalid_format,0,96,0.0,metadata_or_rule_based_text_patterns,True
C3_DPO_Llama,off_topic,0,96,0.0,metadata_or_rule_based_text_patterns,True
C3_DPO_Llama,solution_leaking_flag,2,96,0.0208,metadata_or_rule_based_text_patterns,True
C3_DPO_Llama,repetition_flag,27,96,0.2812,metadata_or_rule_based_text_patterns,True
C4_PE_Qwen,early_termination,0,110,0.0,metadata_or_rule_based_text_patterns,True
C4_PE_Qwen,max_turn_termination,0,110,0.0,metadata_or_rule_based_text_patterns,True
C4_PE_Qwen,protocol_failure,0,110,0.0,metadata_or_rule_based_text_patterns,True
C4_PE_Qwen,invalid_format,0,110,0.0,metadata_or_rule_based_text_patterns,True
C4_PE_Qwen,off_topic,0,110,0.0,metadata_or_rule_based_text_patterns,True
C4_PE_Qwen,solution_leaking_flag,3,110,0.0273,metadata_or_rule_based_text_patterns,True
C4_PE_Qwen,repetition_flag,30,110,0.2727,metadata_or_rule_based_text_patterns,True
