condition,problem_id,profile,difficulty,early_termination,protocol_failure,scorable,composite,QQ,SD,SLR,EDT,DC,MC_Verified,_row_hash,is_exact_duplicate,is_key_duplicate,n_unique_contents,n_dialogue_rows,analysis_unit,pairing_key,replicate_id,include_primary,dedupe_note,composite_locked,dialogue_id,run_id
C1_PE_Llama,dc1b264fc4aefafb,struggling,Medium,False,False,True,0.60375,0.75,0.65,1.0,0.0,0.7375,0.0,7ac764e191805b9dd2c28cf4eda4a5a2,False,False,1,5,dialogue_cell,dc1b264fc4aefafb::struggling,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.60375,C1_PE_Llama::dc1b264fc4aefafb::struggling::r1,C1_PE_Llama::dc1b264fc4aefafb::struggling::r1
C1_PE_Llama,b41cc7b74e66b597,progressing,Medium,False,False,True,0.55875,0.525,0.65,1.0,0.0,0.7375,0.0,3c48945782c42f035334da6e40e44e85,False,False,1,3,dialogue_cell,b41cc7b74e66b597::progressing,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.5587500000000001,C1_PE_Llama::b41cc7b74e66b597::progressing::r1,C1_PE_Llama::b41cc7b74e66b597::progressing::r1
C1_PE_Llama,a02a9dd44a028b48,progressing,Medium,False,False,True,0.6537499999999999,0.675,0.6,1.0,0.5,0.7375,0.0,5c251fda87b771de418685341c3cfd21,False,False,1,4,dialogue_cell,a02a9dd44a028b48::progressing,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.65375,C1_PE_Llama::a02a9dd44a028b48::progressing::r1,C1_PE_Llama::a02a9dd44a028b48::progressing::r1
C1_PE_Llama,b138e6f30af2eba3,progressing,Medium,False,False,True,0.60375,0.75,0.65,1.0,0.0,0.7375,0.0,4d7c68fa0fc351554eb1e009cbc4209f,False,False,1,3,dialogue_cell,b138e6f30af2eba3::progressing,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.60375,C1_PE_Llama::b138e6f30af2eba3::progressing::r1,C1_PE_Llama::b138e6f30af2eba3::progressing::r1
C1_PE_Llama,2b2d708cc4d104fb,advanced,Medium,False,False,True,0.6675,0.75,0.6,1.0,0.5,0.725,0.0,1c37216c7701ee63e095f856876b1927,False,False,1,4,dialogue_cell,2b2d708cc4d104fb::advanced,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.6675,C1_PE_Llama::2b2d708cc4d104fb::advanced::r1,C1_PE_Llama::2b2d708cc4d104fb::advanced::r1
C1_PE_Llama,fecc3d4d9ba43ef7,advanced,Medium,False,False,True,0.5729166666666666,0.75,0.5,1.0,0.0,0.7292,0.0,6b690f1fd3f421e7ffd8deb3878e202c,False,False,1,3,dialogue_cell,fecc3d4d9ba43ef7::advanced,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.57292,C1_PE_Llama::fecc3d4d9ba43ef7::advanced::r1,C1_PE_Llama::fecc3d4d9ba43ef7::advanced::r1
C1_PE_Llama,3af5503ad498c930,struggling,Medium,False,False,True,0.65875,0.75,0.55,1.0,0.5,0.7375,0.0,ee29d38674d1254f0795c9cd9dd7a208,False,False,1,3,dialogue_cell,3af5503ad498c930::struggling,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.6587500000000001,C1_PE_Llama::3af5503ad498c930::struggling::r1,C1_PE_Llama::3af5503ad498c930::struggling::r1
C1_PE_Llama,786a70bb2d54eaae,progressing,Medium,False,False,True,0.57875,0.525,0.5,0.9,0.5,0.7375,0.0,546ba39f075690001e1e7636844b25cb,False,False,1,5,dialogue_cell,786a70bb2d54eaae::progressing,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.57875,C1_PE_Llama::786a70bb2d54eaae::progressing::r1,C1_PE_Llama::786a70bb2d54eaae::progressing::r1
C1_PE_Llama,50ee037194ec0443,struggling,Medium,False,False,True,0.57375,0.75,0.5,1.0,0.0,0.7375,0.0,4bee852481b8abeded527bf209192516,False,False,1,1,dialogue_cell,50ee037194ec0443::struggling,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.57375,C1_PE_Llama::50ee037194ec0443::struggling::r1,C1_PE_Llama::50ee037194ec0443::struggling::r1
C1_PE_Llama,c46455f66de332c0,progressing,Medium,False,False,True,0.646875,0.75,0.5,1.0,0.5,0.7188,0.0,997b843f5197eaa18a8b37d72f615fe7,False,False,1,6,dialogue_cell,c46455f66de332c0::progressing,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.64688,C1_PE_Llama::c46455f66de332c0::progressing::r1,C1_PE_Llama::c46455f66de332c0::progressing::r1
C1_PE_Llama,64d97652f760858a,struggling,Medium,False,False,True,0.63125,0.75,0.6,1.0,0.25,0.7375,0.0,9ecbb37584f2ef3cf17611f0c21e4d02,False,False,1,2,dialogue_cell,64d97652f760858a::struggling,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.63125,C1_PE_Llama::64d97652f760858a::struggling::r1,C1_PE_Llama::64d97652f760858a::struggling::r1
C1_PE_Llama,b6ce335d875f871b,struggling,Medium,False,False,True,0.59375,0.75,0.6,1.0,0.0,0.7375,0.0,4230185cb6ac9539a2bb141403e9a3d5,False,False,1,2,dialogue_cell,b6ce335d875f871b::struggling,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.59375,C1_PE_Llama::b6ce335d875f871b::struggling::r1,C1_PE_Llama::b6ce335d875f871b::struggling::r1
C1_PE_Llama,c275e3cce4ee8fcb,struggling,Medium,False,False,True,0.75125,0.75,0.7,1.0,0.25,0.7375,1.0,1229a9d9e106b8198c325c7f52e63c2f,False,False,1,4,dialogue_cell,c275e3cce4ee8fcb::struggling,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.75125,C1_PE_Llama::c275e3cce4ee8fcb::struggling::r1,C1_PE_Llama::c275e3cce4ee8fcb::struggling::r1
C1_PE_Llama,4f85613ff32ec2fb,advanced,Medium,False,False,True,0.39875,0.15,0.6,0.4,0.5,0.7375,0.0,268f03d850b49d499c0d4d5a6c88005d,False,False,1,3,dialogue_cell,4f85613ff32ec2fb::advanced,1,True,"first scored row per (problem_id, profile); exact/resume duplicates dropped",0.39875,C1_PE_Llama::4f85613ff32ec2fb::advanced::r1,C1_PE_Llama::4f85613ff32ec2fb::advanced::r1
